vol_band,rank_in_band,game_id,title,year,n_active,users_rated_active,users_rated_pop_scrape,raw_active_mean,adj_mean_g,expected_quality_g,residual,residual_cv,SE,post_SD,residual_lb_95,residual_lb_95_post,adj_lb_95,categories,mechanics,weight,playing_time
2.5k-5k,4,270633,Aeon's End: The New Age,2019,2860,3492.000000,3492.000000,8.483622,8.769181,7.797445,0.971736,0.966187,0.022328,0.022320,0.927973,0.927988,8.725419,"[""Card Game"", ""Fantasy"", ""Science Fiction""]","[""Cooperative Game"", ""Deck, Bag, and Pool Building"", ""Hand Management"", ""Open Drafting"", ""Scenario / Mission / Campaign Game"", ""Variable Phase Order"", ""Variable Player Powers""]",2.913600,60.000000
2.5k-5k,5,552,Bus,1999,4136,5558.000000,5558.000000,7.650200,8.285290,7.325951,0.959339,0.958759,0.018567,0.018563,0.922948,0.922957,8.248899,"[""Transportation""]","[""Action Points"", ""Action Queue"", ""Network and Route Building"", ""Pick-up and Deliver"", ""Turn Order: Claim Action"", ""Turn Order: Progressive"", ""Worker Placement""]",3.042900,120.000000
2.5k-5k,6,121288,Dixit: Journey,2012,4551,4737.000000,4737.000000,7.375851,7.581603,6.626612,0.954991,0.972012,0.017700,0.017696,0.920299,0.920306,7.546911,"[""Card Game"", ""Humor"", ""Party Game""]","[""Acting"", ""Simultaneous Action Selection"", ""Storytelling"", ""Targeted Clues"", ""Voting""]",1.255600,30.000000
2.5k-5k,7,140068,Galaxy Trucker: Anniversary Edition,2012,2868,2962.000000,2962.000000,8.136636,8.402338,7.463952,0.938386,0.957703,0.022297,0.022289,0.894684,0.894699,8.358636,"[""Real-time"", ""Science Fiction"", ""Space Exploration"", ""Transportation""]","[""Dice Rolling"", ""Events"", ""Memory"", ""Real-Time"", ""Relative Movement"", ""Team-Based Game"", ""Tile Placement"", ""Track Movement""]",2.828600,120.000000
2.5k-5k,8,171908,El Grande Big Box,2015,3320,3605.000000,3605.000000,8.191918,8.530475,7.597784,0.932690,0.918392,0.020723,0.020717,0.892072,0.892084,8.489857,"[""Renaissance""]","[""Area Majority / Influence"", ""Area Movement"", ""Auction / Bidding"", ""Hand Management"", ""Memory"", ""Open Drafting"", ""Simultaneous Action Selection""]",2.800000,90.000000
2.5k-5k,9,354,Stick 'Em,1993,3781,4063.000000,4063.000000,7.040999,7.555167,6.677562,0.877606,0.894859,0.019419,0.019414,0.839545,0.839554,7.517106,"[""Card Game""]","[""Hand Management"", ""Take That"", ""Trick-taking""]",1.896900,60.000000
2.5k-5k,10,230914,Carcassonne Big Box 6,2017,4395,5342.000000,5342.000000,8.009804,8.060954,7.214308,0.846646,0.846962,0.018012,0.018008,0.811343,0.811351,8.025652,"[""City Building"", ""Medieval"", ""Territory Building""]","[""Area Majority / Influence"", ""Pattern Building"", ""Tile Placement""]",1.951400,35.000000
5k-10k,1,156546,Monikers,2015,6609,7906.000000,7906.000000,7.766952,8.083925,6.815234,1.268691,1.250481,0.014688,0.014686,1.239903,1.239907,8.055136,"[""Card Game"", ""Humor"", ""Mature / Adult"", ""Party Game"", ""Print & Play""]","[""Acting"", ""Communication Limits"", ""Open Drafting"", ""Role Playing"", ""Singing"", ""Team-Based Game""]",1.090000,60.000000
5k-10k,2,1353,Time's Up!,1999,5962,6292.000000,6292.000000,7.272919,7.640844,6.506439,1.134405,1.167906,0.015464,0.015462,1.104095,1.104100,7.610534,"[""Humor"", ""Party Game""]","[""Acting"", ""Communication Limits"", ""Memory"", ""Team-Based Game""]",1.201200,90.000000
5k-10k,3,160069,Ticket to Ride: 10th Anniversary,2014,5355,5670.000000,5670.000000,8.218640,8.343026,7.251088,1.091938,1.086383,0.016317,0.016314,1.059956,1.059961,8.311044,"[""Trains"", ""Travel""]","[""Connections"", ""End Game Bonuses"", ""Hand Management"", ""Network and Route Building"", ""Open Drafting"", ""Set Collection""]",1.887900,60.000000
