game_id,title,primary_type,exposure_band,share_band,n_band,mean_adj_band,mean_p_band,adj_diff_vs_global
313261,Oriflamme: Ablaze,Other,ALL,1.0,685,7.601257936369393,0.6214644135341882,0.0
313262,Shamans,Other,ALL,1.0,2034,7.297493503538794,0.6452492729850747,0.0
313269,Rescuing Robin Hood,Coop,0-4,0.0538720538720538,15,,,
313269,Rescuing Robin Hood,Coop,5-19,0.1548821548821548,45,,,
313269,Rescuing Robin Hood,Coop,ge20,0.7912457912457912,234,,,
313292,Funkoverse Strategy Game: Game of Thrones 100,Other,ALL,1.0,154,7.20103473976438,0.6402200260290283,0.0
313439,Tribunal 1920,Other,ALL,1.0,129,7.076085582962374,0.6236383142561581,0.0
313442,Pugs in Mugs,Other,ALL,1.0,203,5.222707329745239,0.6600638797001185,0.0
313467,Unsolved Case Files: Harmony Ashcroft,Party,0-4,0.1530612244897959,29,,,
313467,Unsolved Case Files: Harmony Ashcroft,Party,5-19,0.3214285714285714,62,,,
313467,Unsolved Case Files: Harmony Ashcroft,Party,ge20,0.5255102040816326,103,,,
313471,Knockdown,Other,ALL,1.0,145,7.073426459771572,0.5018064130699965,0.0
313473,L.A.M.A. Party Edition,Other,ALL,1.0,977,7.2456119964215056,0.5629793936961145,0.0
313531,Rustling Leaves,Other,ALL,1.0,1425,7.171096035027901,0.618069285520722,0.0
313536,Pop-Tarts Game,Other,ALL,1.0,222,6.080581562971566,0.6274744158320117,0.0
313698,Monster Expedition,Other,ALL,1.0,1155,7.070077857008425,0.6639856954403185,0.0
313718,Hibachi,Economic,0-4,0.0914489311163895,76,,,
313718,Hibachi,Economic,5-19,0.2802850356294536,235,,,
313718,Hibachi,Economic,ge20,0.6282660332541568,529,,,
313723,Samoa,Other,ALL,1.0,212,6.557058529477525,0.5299027760176264,0.0
313730,Harsh Shadows,Other,ALL,1.0,194,7.191134316013296,0.5558486936652607,0.0
313802,Taco Cat Goat Cheese Pizza: Demo deck,Party,0-4,0.1386138613861386,13,,,
313802,Taco Cat Goat Cheese Pizza: Demo deck,Party,5-19,0.3564356435643564,36,,,
313802,Taco Cat Goat Cheese Pizza: Demo deck,Party,ge20,0.504950495049505,51,,,
313807,Oros,Other,ALL,1.0,1262,7.619620153187537,0.7575291631731936,0.0
313822,Tic Tac Match,Other,ALL,1.0,153,5.197430220427934,0.7212567351144507,0.0
313834,Blockbuster Returns,Party,0-4,0.1155778894472361,22,,,
313834,Blockbuster Returns,Party,5-19,0.321608040201005,63,,,
313834,Blockbuster Returns,Party,ge20,0.5628140703517588,112,,,
313835,Deep Shelf,Economic,0-4,0.1043478260869565,11,,,
313835,Deep Shelf,Economic,5-19,0.2,23,,,
313835,Deep Shelf,Economic,ge20,0.6956521739130435,80,,,
313841,Lunar Base,Other,ALL,1.0,385,7.375661518734579,0.6080593707456876,0.0
313889,Hoplomachus: Victorum,Other,ALL,1.0,1425,8.60641026597957,0.6670352236505251,0.0
313919,Aliens: Bug Hunt,Coop,0-4,0.0378619153674833,17,,,
313919,Aliens: Bug Hunt,Coop,5-19,0.2293986636971046,102,,,
313919,Aliens: Bug Hunt,Coop,ge20,0.732739420935412,329,,,
313963,Cloud City,Other,ALL,1.0,1480,6.865434282625801,0.6443165620073535,0.0
314009,Pirate Legends,Legacy,0-4,0.6272727272727273,69,,,
314009,Pirate Legends,Legacy,5-19,0.3181818181818182,35,,,
314009,Pirate Legends,Legacy,ge20,0.0545454545454545,5,,,
314026,Break In: Alcatraz,Coop,0-4,0.0236966824644549,4,,,
314026,Break In: Alcatraz,Coop,5-19,0.1658767772511848,34,,,
314026,Break In: Alcatraz,Coop,ge20,0.8104265402843602,171,,,
314040,Pandemic Legacy: Season 0,Coop,0-4,0.0419658331270116,338,,,
314040,Pandemic Legacy: Season 0,Coop,5-19,0.3213666749195345,2596,,,
314040,Pandemic Legacy: Season 0,Coop,ge20,0.6366674919534538,5143,,,
314088,Agropolis,Coop,0-4,0.0461351679481991,113,,,
314088,Agropolis,Coop,5-19,0.2432213678672602,601,,,
314088,Agropolis,Coop,ge20,0.7106434641845407,1756,,,
314125,Factory 42,Other,ALL,1.0,172,6.89842055411403,0.8086556984632545,0.0
314170,2 Minutes to Midnight,Wargame,0-4,0.0679012345679012,10,,,
314170,2 Minutes to Midnight,Wargame,5-19,0.228395061728395,36,,,
314170,2 Minutes to Midnight,Wargame,ge20,0.7037037037037037,114,,,
314243,"Warhammer 40,000 (Ninth Edition)",Wargame,0-4,0.2012012012012012,67,,,
314243,"Warhammer 40,000 (Ninth Edition)",Wargame,5-19,0.4384384384384384,145,,,
314243,"Warhammer 40,000 (Ninth Edition)",Wargame,ge20,0.3603603603603603,119,,,
314349,Claim Pocket,Other,ALL,1.0,154,7.001802257826253,0.5563945647683446,0.0
314393,Wutaki,Economic,0-4,0.0585365853658536,11,,,
314393,Wutaki,Economic,5-19,0.2390243902439024,48,,,
314393,Wutaki,Economic,ge20,0.7024390243902439,144,,,
314395,Pocket Detective №2,Coop,0-4,0.0142857142857142,3,,,
314395,Pocket Detective №2,Coop,5-19,0.1892857142857142,52,,,
314395,Pocket Detective №2,Coop,ge20,0.7964285714285714,222,,,
314397,In the Palm of Your Hand,Party,0-4,0.0761904761904762,16,,,
314397,In the Palm of Your Hand,Party,5-19,0.2666666666666666,55,,,
314397,In the Palm of Your Hand,Party,ge20,0.6571428571428571,138,,,
314401,Rapa Nui,Other,ALL,1.0,269,7.059810629438516,0.7147351698095705,0.0
314413,Fluxx,Other,ALL,1.0,422,5.97200162751418,0.4184465349155566,0.0
314421,The Fuzzies,Other,ALL,1.0,1363,6.775541731796327,0.5015918363350446,0.0
314491,Meadow,Other,ALL,1.0,11525,7.9942505080027315,0.6242161619886094,0.0
314503,Codex Naturalis,Other,ALL,1.0,4918,7.491853028700087,0.570366682711731,0.0
310885,Belaad: The Land of Swords and Quills,Other,ALL,1.0,192,7.82032544156322,0.67937323374532,0.0
310953,Pokémon Trading Card Game Battle Academy,Other,ALL,1.0,610,7.008125649870817,0.5577833779796073,0.0
311020,Marvel Battleworld,Coop,0-4,0.0535714285714285,5,,,
311020,Marvel Battleworld,Coop,5-19,0.2142857142857142,23,,,
311020,Marvel Battleworld,Coop,ge20,0.7321428571428571,82,,,
311031,Oh! Meow! Bow!,Other,ALL,1.0,639,7.680665465477294,0.698953192857769,0.0
311191,Influentia,Other,ALL,1.0,105,6.87886658241546,0.729380155779202,0.0
311193,Anno 1800: The Board Game,Economic,0-4,0.035001296344309,269,,,
311193,Anno 1800: The Board Game,Economic,5-19,0.1711174487943998,1320,,,
311193,Anno 1800: The Board Game,Economic,ge20,0.7938812548612911,6124,,,
311209,Wild Cards,Other,ALL,1.0,111,6.72979123332715,0.6138781856134996,0.0
311322,Herd Mentality,Party,0-4,0.083743842364532,203,,,
311322,Herd Mentality,Party,5-19,0.3608374384236453,878,,,
311322,Herd Mentality,Party,ge20,0.5554187192118226,1353,,,
311330,P for Pizza,Other,ALL,1.0,380,6.453039837260941,0.4687406821593854,0.0
311464,Florenza: X Anniversary Edition,Economic,0-4,0.0248447204968944,7,,,
311464,Florenza: X Anniversary Edition,Economic,5-19,0.15527950310559,49,,,
311464,Florenza: X Anniversary Edition,Economic,ge20,0.8198757763975155,264,,,
311465,Roll & Raid,Other,ALL,1.0,252,7.468406870496303,0.6587792913125758,0.0
311475,Masters of the Universe: The Board Game – Clash for Eternia,Coop,0-4,0.0521235521235521,26,,,
311475,Masters of the Universe: The Board Game – Clash for Eternia,Coop,5-19,0.2471042471042471,128,,,
311475,Masters of the Universe: The Board Game – Clash for Eternia,Coop,ge20,0.7007722007722008,363,,,
311610,Blazon,Other,ALL,1.0,359,7.16739431813578,0.7146333541152152,0.0
311659,What Do You Meme?: Family Edition,Party,0-4,0.1228070175438596,34,,,
311659,What Do You Meme?: Family Edition,Party,5-19,0.375438596491228,106,,,
311659,What Do You Meme?: Family Edition,Party,ge20,0.5017543859649123,143,,,
311686,Escape the Room: The Cursed Dollhouse,Party,0-4,0.1013215859030837,23,,,
311686,Escape the Room: The Cursed Dollhouse,Party,5-19,0.2643171806167401,60,,,
311686,Escape the Room: The Cursed Dollhouse,Party,ge20,0.6343612334801763,144,,,
311715,Mini Rogue,Coop,0-4,0.0800299177262528,214,,,
311715,Mini Rogue,Coop,5-19,0.3231114435302917,864,,,
311715,Mini Rogue,Coop,ge20,0.5968586387434555,1596,,,
311725,Dice Theme Park,Other,ALL,1.0,792,7.036449578946434,0.8052228277348887,0.0
311731,Freedom Five: A Sentinel Comics Board Game,Coop,0-4,0.0217391304347826,6,,,
311731,Freedom Five: A Sentinel Comics Board Game,Coop,5-19,0.1583850931677018,50,,,
311731,Freedom Five: A Sentinel Comics Board Game,Coop,ge20,0.8198757763975155,264,,,
311822,Kinghill,Economic,0-4,0.096590909090909,16,,,
311822,Kinghill,Economic,5-19,0.2670454545454545,46,,,
311822,Kinghill,Economic,ge20,0.6363636363636364,112,,,
311823,Nova Aetas Renaissance,Coop,0-4,0.0584615384615384,18,,,
311823,Nova Aetas Renaissance,Coop,5-19,0.3384615384615385,110,,,
311823,Nova Aetas Renaissance,Coop,ge20,0.6030769230769231,196,,,
