game_id,n_obs,n_ref_raters,ref_penetration,hiddenness_bucket,hidden_bucket
207910,769,764,0.0027372916577095,eligible_<1700,eligible_<1700
208023,109,109,0.0003905298307465,eligible_<1700,eligible_<1700
208256,175,167,0.0005983346948134,eligible_<1700,eligible_<1700
208754,102,101,0.0003618670908752,eligible_<1700,eligible_<1700
209095,372,357,0.0012790747667569,eligible_<1700,eligible_<1700
209136,318,317,0.0011357610674004,eligible_<1700,eligible_<1700
209222,207,204,0.0007308998667182,eligible_<1700,eligible_<1700
209282,179,179,0.0006413288046204,eligible_<1700,eligible_<1700
209284,160,155,0.0005553405850065,eligible_<1700,eligible_<1700
209344,110,109,0.0003905298307465,eligible_<1700,eligible_<1700
209538,306,305,0.0010927669575934,eligible_<1700,eligible_<1700
209542,149,149,0.000533843530103,eligible_<1700,eligible_<1700
209672,160,160,0.000573254797426,eligible_<1700,eligible_<1700
209696,352,336,0.0012038350745947,eligible_<1700,eligible_<1700
217428,246,244,0.0008742135660747,eligible_<1700,eligible_<1700
217447,195,195,0.000698654284363,eligible_<1700,eligible_<1700
223767,101,101,0.0003618670908752,eligible_<1700,eligible_<1700
223770,5151,5136,0.0184014789973773,exclude_>2500,exclude_>2500
225759,154,137,0.000490849420296,eligible_<1700,eligible_<1700
225836,113,108,0.0003869469882626,eligible_<1700,eligible_<1700
225976,115,115,0.0004120268856499,eligible_<1700,eligible_<1700
225977,155,155,0.0005553405850065,eligible_<1700,eligible_<1700
226254,695,695,0.0024900755263195,eligible_<1700,eligible_<1700
226312,166,165,0.0005911690098456,eligible_<1700,eligible_<1700
226320,5851,5836,0.0209094687361164,exclude_>2500,exclude_>2500
226457,118,117,0.0004191925706178,eligible_<1700,eligible_<1700
226519,1671,1656,0.0059331871533599,eligible_<1700,eligible_<1700
