game_id,n_raters_active,n_obs,raw_mean,adj_mean,mean_delta_pool,selection_residual_mean,selection_z,selection_p,selection_residual_cross_mean,selection_cross_z,share_heavy_500plus,share_heavy_250plus,share_light_10_24,share_deg_broad,share_own,share_want,share_preordered,chi2_volume_band,kl_volume_band,chi2_p,mean_cnt_pool,enthusiasm_vs_own_other,title,year,weight
324512,135,135,7.425737037037036,7.671925272317741,-0.2461882352807079,4.261611639709305e-15,4.349301185027502e-14,0.9999999999999654,0.015383812810145765,0.1550285909249577,0.3111111111111111,0.5407407407407407,0.022222222222222223,0.0,0.6666666666666666,0.0,0.0,17.389753510384896,0.06473101717760839,,486.75555555555553,0.20656152322853324,,,
324513,425,425,7.51542745882353,7.647323466415634,-0.1318960075920976,-7.200906537718765e-15,-1.2173516284010975e-13,0.999999999999903,0.005358958346929138,0.08759260983906676,0.2023529411764706,0.4,0.05647058823529412,0.01647058823529412,0.7105882352941176,0.004705882352941176,0.004705882352941176,3.218663400994077,0.003636551399683009,,419.05411764705883,0.036944405848328955,,,
324558,74,74,7.4456013513513515,7.748951348348206,-0.3033499969968545,-4.080819766189765e-16,-2.6321890617084783e-15,0.999999999999998,-0.021863960581454542,-0.1422915741992141,0.31081081081081086,0.6081081081081081,0.02702702702702703,0.0,0.7702702702702703,0.0,0.0,15.407126261269152,0.10009032931688773,,514.0135135135135,0.31565411701922746,,,
324639,234,234,7.9303133760683755,7.9200999012888005,0.010213474779581743,-6.173599143770315e-15,-9.655181189265142e-14,0.999999999999923,0.00406311071299285,0.06161787564061193,0.06837606837606838,0.16666666666666669,0.08974358974358974,0.008547008547008548,0.8418803418803419,0.008547008547008548,0.004273504273504274,58.39582987727651,0.13767075957693034,,203.28205128205127,0.34873526804914196,The Road,2021.0,2.1429
324641,110,110,6.387727272727274,6.778707355348146,-0.39098008262087314,-4.0169887618255664e-16,-2.692738558854193e-15,0.9999999999999978,0.02828278968782005,0.18372356433684667,0.2909090909090909,0.4909090909090909,0.07272727272727272,0.0,0.42727272727272725,0.00909090909090909,0.01818181818181818,11.550371993094021,0.055952691571951145,,467.04545454545456,-0.6959850063227876,,,
324657,233,233,8.201611845493563,8.363219760101336,-0.1616079146077752,1.9307397835970534e-15,2.4522519593119328e-14,0.9999999999999805,0.0018049872697441952,0.022310637320623935,0.10300429184549356,0.22317596566523606,0.13733905579399142,0.017167381974248927,0.7982832618025751,0.0,0.0,43.13471444722867,0.08757881439919016,,241.98283261802575,0.6795716633389322,,,
324711,821,821,7.666997563946406,8.336214551491842,-0.6692169875454349,-7.78914083050049e-16,-1.7943329601830988e-14,0.9999999999999858,-0.001770865590044075,-0.040457795437795076,0.39951278928136424,0.7015834348355665,0.020706455542021926,0.007308160779537149,0.5140073081607796,0.014616321559074299,0.0036540803897685747,375.93124098280094,0.23700784990951068,,579.2971985383679,0.7435518031392251,,,
324759,406,406,7.040541871921182,7.359135188652043,-0.31859331673086444,4.242911440907371e-15,6.625190521528346e-14,0.9999999999999472,-0.0036161344458062543,-0.054462264645217286,0.23645320197044334,0.43349753694581283,0.024630541871921183,0.0024630541871921183,0.7093596059113301,0.0049261083743842365,0.0,33.175805252287596,0.04731412145999617,,387.07881773399015,-0.19208224122169662,,,
324853,744,744,7.802603051075267,8.163967111629317,-0.3613640605540476,-2.536799921858557e-16,-6.230406634073446e-15,0.9999999999999951,-0.0014776122688410754,-0.03584574276145501,0.28494623655913975,0.5349462365591398,0.03225806451612903,0.002688172043010753,0.26344086021505375,0.0013440860215053765,0.0013440860215053765,84.4548154842934,0.05876839263630632,,467.8239247311828,0.6995787798082607,Exit: The Game – Kidnapped in Fortune City,2021.0,
324856,19993,19993,8.101532768969136,8.462160489477052,-0.3606277205078629,-4.9301276755302143e-14,-5.73030797788857e-12,0.9999999999954279,-0.0032905422351679884,-0.3739331478396996,0.12669434302005703,0.30610713749812435,0.06737358075326365,0.004751663082078727,0.6519281748612015,0.00200070024508578,0.0011504026409243236,883.9108636522612,0.02368641484729552,,244.72775471414994,0.8278780071567712,The Crew: Mission Deep Sea,2021.0,2.0507
