game_id,n_obs,n_ref_raters,ref_penetration,title,resid_Q3bFam,hiddenness_bucket
32157,114,114,0.00040844404316608626,The T-Shirt Game,-0.5892916074883763,eligible_<1700
32194,122,122,0.00043710678303739056,Saba: Palast der Königin,-0.5886078237933434,eligible_<1700
32260,246,246,0.0008813792510426071,The Club,-1.5042763199743137,eligible_<1700
32341,3188,3177,0.01138269057139172,Cockroach Salad,-0.10160749947151437,exclude_>2500
32382,742,739,0.0026477205956117345,Gipsy King,0.49751927592401035,eligible_<1700
32424,577,574,0.0020565515857660834,1848: Australia,0.47792875036575744,eligible_<1700
32441,3337,3316,0.011880705676655631,Bezzerwizzer,0.005273075877963329,exclude_>2500
32465,109,108,0.000386946988262608,Didi Dotter,0.6636962228059584,eligible_<1700
32469,177,175,0.0006269974346847816,Make You Gunfighters,0.3769506817478465,eligible_<1700
32471,374,372,0.00133281740401565,Mafia,-0.4701773267706608,eligible_<1700
32928,852,851,0.0030489989538099948,Mü and Lots More,1.0635044856081102,eligible_<1700
33071,311,306,0.0010963498000773895,Master Labyrinth,-0.4085659983833194,eligible_<1700
33088,1014,999,0.0035792596414291242,Chabyrinthe,-0.2980609689431377,eligible_<1700
33112,288,283,0.0010139444229473895,War,-1.3932185195760702,eligible_<1700
33154,4836,4821,0.017272883614944754,Wasabi!,-0.07428042910997945,exclude_>2500
34635,52458,52458,0.1879487510211101,Stone Age,0.18407101296923223,exclude_>2500
34745,321,316,0.0011321782249165198,Battleship Express,-0.2816338737585342,eligible_<1700
34747,277,253,0.0009064591484299984,Jena 20,0.3393234433906347,eligible_<1700
34829,399,398,0.0014259713085973888,Ilium,0.06997140335715724,eligible_<1700
34843,186,186,0.000666408702007825,Wizard's Gambit,-0.08727645653916749,eligible_<1700
35179,184,184,0.0006592430170399989,Globalissimo,0.8768089234811365,eligible_<1700
35306,136,131,0.00046935236539260786,Battlefields of Olympus,-0.2687554984735936,eligible_<1700
35376,195,188,0.000673574386975651,Bandits,-0.10717607166805099,eligible_<1700
35472,245,245,0.0008777964085586942,Triovision,0.405915805366325,eligible_<1700
35477,184,142,0.0005087636327156513,Dead of Winter: The Battle of Stones River (Second Edition),-0.06716390455175247,eligible_<1700
35505,1856,1847,0.00661751006778738,Walk the Plank!,0.32047965533345835,borderline_1700-2500
35614,408,372,0.00133281740401565,Where There Is Discord: War in the South Atlantic,0.6647258131133693,eligible_<1700
