game_id,title,flag,n_raters,n_raters_ge20_total,n_raters_ge20_other,penetration_ge20_total,penetration_ge20_other,penetration_ge10_total,penetration_ge10_other,total_enth_ge20,total_enth_ge10,missing_ge20_other,penetration_rank_ge20_other
1582,Sicily: Triumph and Folly,Wargame,183,170,169,0.009805052485869188,0.009747375706540547,0.004423048726846195,0.004398611993548703,17338,40922,17169,0.47648514851485146
1666,Battle Hymn,Wargame,435,363,358,0.020936670896297152,0.020648286999653938,0.010116807585162016,0.00997018718537706,17338,40922,16980,0.7564356435643564
1674,Naval War,Wargame,796,564,553,0.03252970354135425,0.03189525896873919,0.016934656175162505,0.016568105175700114,17338,40922,16785,0.8435643564356435
1706,UFO: Game of Close Encounters,Wargame,158,123,122,0.007094243857423002,0.00703656707809436,0.003396705928351498,0.0033722691950540053,17338,40922,17216,0.2995049504950495
1709,Trireme: Tactical Game of Ancient Naval Warfare 494 BC-370 AD,Wargame,246,215,214,0.012400507555658092,0.01234283077632945,0.005718195591613313,0.005620448658423342,17338,40922,17124,0.5896039603960396
1710,The Siege of Jerusalem (Third Edition),Wargame,580,529,527,0.03051101626485177,0.030395662706194485,0.013855627779678413,0.013782317579785935,17338,40922,16811,0.8353960396039604
1717,"Freedom in the Galaxy: The Star Rebellions, 5764 AD",Wargame,701,577,568,0.0332795016726266,0.03276041065866882,0.016079370509750255,0.015786129710180345,17338,40922,16770,0.8492574257425742
1719,Dark Emperor,Wargame,186,149,149,0.0085938401199677,0.0085938401199677,0.004154244660573774,0.004105371193978789,17338,40922,17189,0.4101485148514851
1780,Knights of Camelot,Wargame,164,118,115,0.00680585996077979,0.006632829622793863,0.0033233957284590195,0.003298958995161527,17338,40922,17223,0.26633663366336635
1792,Star Viking,Wargame,102,89,89,0.005133233360249164,0.005133233360249164,0.002443673329749279,0.0023947998631542937,17338,40922,17249,0.1
1822,Wilderness War,Wargame,1880,1658,1639,0.09562810012688891,0.09453224131964472,0.044621475001221836,0.04420605053516446,17338,40922,15699,0.9574257425742574
1844,Battle of Britain,Wargame,244,194,192,0.011189295189756605,0.011073941631099319,0.005278334392258443,0.005229460925663457,17338,40922,17146,0.5443069306930693
2699,Fire Team,Wargame,121,105,104,0.00605606182950744,0.005998385050178798,0.002907971262401642,0.0028590977958066564,17338,40922,17234,0.18613861386138614
2709,The Beastlord,Wargame,109,89,88,0.005133233360249164,0.005075556580920521,0.0023703631298568006,0.002321489663261815,17338,40922,17250,0.09504950495049505
2725,Star Wars: Escape From The Death Star,Wargame,167,109,106,0.0062867689468220096,0.006113738608836083,0.003396705928351498,0.003274522261864034,17338,40922,17232,0.2037128712871287
2743,Starfall,Wargame,104,94,92,0.0054216172568923755,0.005306263698235091,0.0023947998631542937,0.0023947998631542937,17338,40922,17246,0.11311881188118812
2749,The American Civil War,Wargame,386,297,293,0.01713000346060676,0.01689929634329219,0.008601730120717462,0.008479546454229998,17338,40922,17045,0.7007425742574257
2844,Throneworld,Wargame,173,149,148,0.0085938401199677,0.008536163340639058,0.00393431406089634,0.0039098773275988465,17338,40922,17190,0.4064356435643564
2891,Starfire,Wargame,288,247,245,0.014246164494174646,0.01413081093551736,0.006622354723620547,0.0065734812570255605,17338,40922,17093,0.6408415841584159
