game_id,title,year,n_obs,users_rated,weight,weight_missing,adj_mean,expected_Q3bFam,residual_Q3bFam,expected_Q3b,residual_Q3b,expected_Q4Fam,residual_Q4Fam,SE,lower_bound_adj,lower_bound_resid,vol_band,fam_18XX,fam_Cooperative Game,fam_Legacy Game,rank_residual
160436,Lost Legacy: Binbo Tantei to Inbo no Shiro,2014.0,116,118.0,1.375,0.0,7.607473968178757,6.277785948582835,1.3296880195959222,6.285789408448112,1.3216845597306452,6.221510701045654,1.3859632671331035,0.1108080982232961,7.390290095661097,1.112504147078262,100-199,0.0,0.0,0.0,57
223952,Boast or Nothing,2017.0,364,481.0,1.4167,0.0,7.909245967666622,6.584788598099989,1.324457369566633,6.58418117843185,1.325064789234772,6.60547318589102,1.303772781775602,0.06255323924326121,7.7866416187498295,1.201853020649841,200-499,0.0,0.0,0.0,58
4079,What's My Word?,1972.0,375,386.0,2.1143,0.0,7.512861846020476,6.191110763935987,1.3217510820844893,6.209439289515574,1.303422556504902,6.2042611091242,1.3086007368962758,0.061628963262331596,7.392069078026306,1.2009583140903195,200-499,0.0,0.0,0.0,59
156546,Monikers,2015.0,6607,7906.0,1.09,0.0,8.082132790312498,6.7608041511633665,1.3213286391491312,6.7519772618410645,1.3301555284714333,6.868726955852118,1.2134058344603798,0.014682443640215266,8.053355200777675,1.2925510496143093,5k-10k,0.0,0.0,0.0,60
244258,The Red Dragon Inn 7: The Tavern Crew,2018.0,310,381.0,1.6,0.0,7.8556047162760585,6.541730332767488,1.3138743835085709,6.549582873236492,1.3060218430395665,6.441405631210124,1.4141990850659347,0.06778282248133423,7.7227503842126435,1.1810200514451559,200-499,0.0,0.0,0.0,61
185380,"Exceed: Red Horizon – Satoshi, Mei Lien, Morathi, and Baelkhor",2016.0,118,126.0,2.2857,0.0,8.16846568283193,6.864378156926048,1.3040875259058833,6.876681082681307,1.2917846001506241,6.840636397647758,1.3278292851841726,0.10986503342877853,7.953130217311525,1.0887520603854774,100-199,0.0,0.0,0.0,62
186567,Baseball Highlights: 2045 – Super Deluxe Edition,2015.0,513,531.0,2.125,0.0,8.15557440517576,6.853490765051923,1.3020836401238363,6.868480486675178,1.287093918500581,6.908993936605945,1.2465804685698139,0.05269165180716956,8.052298767633706,1.198808002581784,500-999,0.0,0.0,0.0,63
194923,Techno Bowl: Arcade Football Unplugged,2017.0,261,321.0,2.8095,0.0,8.569860666363287,7.267838004597875,1.3020226617654114,7.294252231260023,1.2756084351032637,7.2882021520226274,1.2816585143406591,0.07387206548219741,8.42507141801818,1.1572334134203044,200-499,0.0,0.0,0.0,64
99358,Stonewall Jackson's Way II: Battles of Bull Run,2013.0,324,354.0,3.6667,0.0,9.102288001734976,7.816764010063803,1.2855239916711731,7.840240942114953,1.2620470596200235,7.824038152174349,1.278249849560627,0.06630220787751083,8.972335674295055,1.155571664231252,200-499,0.0,0.0,0.0,65
224141,DreadBall (Second Edition),2018.0,135,170.0,2.6667,0.0,8.375095139399932,7.09134990115022,1.2837452382497112,7.116534134897298,1.2585610045026332,7.110207334811513,1.2648878045884189,0.10271493877055267,8.173773859409648,1.082423958259428,100-199,0.0,0.0,0.0,66
4688,Angola,1988.0,540,599.0,3.18,0.0,8.532192604514535,7.256964832903307,1.2752277716112275,7.2705609728494665,1.2616316316650682,7.340045029352485,1.1921475751620498,0.051357469385276334,8.431531964519394,1.174567131616086,500-999,0.0,0.0,0.0,67
156455,Viticulture: Complete Collector's Edition,2014.0,806,836.0,3.32,0.0,8.61001314486082,7.343879450448789,1.2661336944120318,7.410844793127811,1.1991683517330092,7.280663826736221,1.3293493181245992,0.04203712198089862,8.52762038577826,1.1837409353294706,500-999,0.0,0.0,0.0,68
238094,Mutabo,2017.0,520,608.0,1.0435,0.0,7.7504606865742325,6.4856238537789235,1.264836832795309,6.400577973938969,1.3498827126352637,6.5101756547746525,1.24028503179958,0.05233579480505931,7.647882528756316,1.1622586749773927,500-999,0.0,1.0,0.0,69
