game_id,title,year,n_obs,users_rated,weight,weight_missing,raw_mean,adj_mean,se_adj,expected_quality,underratedness,underratedness_cv,lower_bound_resid,lower_bound_adj,model_spec,volume_band,volume_band_6,year_band,volume_decile,is_reimplementation,bayes_rating,rank_current,rank_underratedness
2251,Strat-O-Matic Baseball,1962.0,1071,1279.0,2.3909,0.0,7.677430971055091,7.9171055146130795,0.036467480586579726,6.4843168767841135,1.432788637828966,1.3875054338734776,1.3613123758792698,7.845629252663383,Q3b,1k-2.5k,1k-2k,1960s,D8,False,6.21955,2183.0,57
3097,1849: The Game of Sicilian Railways,1998.0,942,1057.0,4.1628,0.0,8.091200636942673,8.922906481864528,0.03888436798461337,7.497343925503637,1.425562556360891,1.4244473917815874,1.3493491951110488,8.846693120614686,Q3b,500-999,500-999,1990s,D8,False,6.30708,1865.0,58
9539,Beat the 8 Ball,1975.0,196,323.0,1.0,0.0,6.495708724489797,6.943384894648628,0.08524569584251393,5.533506361306863,1.4098785333417654,1.3753817024580686,1.2427969694904382,6.776303330797301,Q3b,100-199,100-199,1970s,D4,False,5.6166,8696.0,59
7290,Dynasty League Baseball Powered by Pursue the Pennant,1985.0,222,273.0,2.5357,0.0,7.670020495495498,7.837850753987609,0.08009843092389068,6.431260389979764,1.4065903640078448,1.4227457107804105,1.249597439397019,7.680857829376783,Q3b,200-499,200-499,1980s,D4,False,5.69008,6585.0,60
197786,Say my Name,2015.0,146,247.0,1.1667,0.0,7.418027397260275,7.45098351025139,0.09876977580017929,6.047148270157766,1.403835240093624,1.3836725868032147,1.2102464795252725,7.257394749683039,Q3b,100-199,100-199,2010s,D2,False,5.6725,6990.0,61
275972,Star Trek: Alliance – Dominion War Campaign,2021.0,193,295.0,3.0588,0.0,8.475958549222797,8.586067013741074,0.08590567237136365,7.198753890352325,1.3873131233887488,1.4073874973960443,1.218938005540876,8.417691895893201,Q3b,100-199,100-199,2020s,D3,False,5.74604,5547.0,62
165332,Puerto Rico,2007.0,117,186.0,3.0769,0.0,7.714529914529914,8.190242020504654,0.11033354315946356,6.811222523605299,1.379019496899355,1.3634718717856398,1.1627657523068065,7.973988275912105,Q3b,100-199,100-199,2000s,D1,False,5.65477,,63
1278,Dutch InterCity,1999.0,209,275.0,2.4545,0.0,6.933253588516746,7.911830022362588,0.08255195311523299,6.533543980015583,1.3782860423470051,1.3933556149116377,1.2164842142411485,7.750028194256732,Q3b,200-499,200-499,1990s,D4,True,5.65594,7383.0,64
19056,Square on Sale,2002.0,178,242.0,2.5,0.0,7.196629213483146,7.902040237077352,0.08945209053825372,6.535254078136726,1.3667861589406263,1.3719722969226629,1.191460061485649,7.726714139622374,Q3b,100-199,100-199,2000s,D3,False,5.66588,7143.0,65
5243,Montage,1973.0,209,216.0,2.5385,0.0,7.2000287081339716,7.713078492508855,0.08255195311523299,6.34938978344146,1.3636887090673957,1.374902659145401,1.201886880961539,7.551276664402999,Q3b,200-499,200-499,1970s,D4,False,5.64276,7776.0,66
20646,1824: Austria-Hungary,2005.0,154,159.0,3.7778,0.0,7.654999999999999,8.510497294707323,0.09617011501190885,7.146885106163429,1.3636121885438932,1.3892318660608964,1.175118763120552,8.32200386928398,Q3b,100-199,100-199,2000s,D2,False,5.63781,7933.0,67
252657,luz,2014.0,228,283.0,2.0,0.0,7.298245614035087,8.076977195037024,0.07903747771075434,6.716138237450229,1.360838957586795,1.3712716916932255,1.2059255012737164,7.922063738723946,Q3b,200-499,200-499,2010s,D4,False,5.6868,6664.0,68
25537,Trötofant,2005.0,148,153.0,1.0,0.0,6.8235135135135145,7.236564136271514,0.09810014248054857,5.877664581716282,1.358899554555232,1.3443469286118885,1.1666232752933567,7.044287857009638,Q3b,100-199,100-199,2000s,D2,False,5.58058,10632.0,69
895,APBA Pro Baseball,1951.0,290,340.0,1.8889,0.0,6.991379310344827,7.172029020260959,0.07008119471545454,5.815388282545991,1.3566407377149687,1.3707833438579478,1.219281596072678,7.0346698786186685,Q3b,200-499,200-499,1950s,D5,False,5.67134,7016.0,70
